
***SUMMARY***SUMMARY***SUMMARY***SUMMARY***SUMMARY***

Simulation:         Evacuation
Version:            2022.3.1207
Mode:               Steering
Total Occupants:    290


Completion Times for All Occupants (s):
  Min:                2.2 "00076"
  Max:              137.1 "00269"
  Average:           71.7
  StdDev:            36.5

Completion Times by Behavior (s):
       Behavior	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
  Goto Any Exit	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5
*all behaviors*	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5

Completion Times by Profile (s):
       Profile	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
       Default	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5
*all profiles*	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5

Travel Distances for All Occupants (m):
  Min:                1.9 "00076"
  Max:              119.9 "00269"
  Average:           64.5
  StdDev:            28.9

Movement Distance by Behavior (m):
       Behavior	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
  Goto Any Exit	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9
*all behaviors*	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9

Movement Distance by Profile (m):
       Profile	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
       Default	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9
*all profiles*	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9

[Components] All:   723
[Components] Doors: 257
Triangles:          17137
Startup Time:       0.1s
CPU Time:           8.5s

Door Flow Rates:
                 Door	First_In	Last_Out	Last_Out_Name	Total_Use	 Flow_Avg
  Piętro 3->Door144_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door145_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door146_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door147_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door148_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door149_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door150_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door151_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door152_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door153_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door154_2	     2.7	     2.7	        00285	        1	         
  Piętro 3->Door155_2	     1.8	     1.8	        00232	        1	         
  Piętro 3->Door156_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door157_2	     4.8	     4.8	        00263	        1	         
  Piętro 3->Door158_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door159_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door160_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door162_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door163_2	     1.7	     1.7	        00269	        1	         
  Piętro 3->Door164_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door165_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door166_2	     1.8	     1.8	        00244	        1	         
  Piętro 3->Door167_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door168_2	     3.9	     5.9	        00255	        2	     0.99
  Piętro 3->Door169_2	     2.3	     2.3	        00228	        1	         
  Piętro 3->Door170_2	     5.2	     5.2	        00286	        1	         
  Piętro 3->Door171_2	     3.5	     3.5	        00286	        1	         
  Piętro 3->Door172_2	     1.9	     4.7	        00262	        3	     1.09
  Piętro 3->Door173_2	     2.7	     3.8	        00240	        2	     1.78

Room Usage:
                      Room	First_In	Last_Out	Last_Out_Name	Total_Use
                          	     (s)	     (s)	             	   (pers)
          Piętro 0->Room00	     0.0	     0.0	             	        0
          Piętro 0->Room02	     0.0	     0.0	             	        0
          Piętro 0->Room03	     0.0	     0.0	             	        0
          Piętro 0->Room10	     0.0	     0.0	             	        0
         Piętro 0->Room102	     0.0	     0.0	             	        0
         Piętro 0->Room106	     0.0	    19.6	        00039	       30
          Piętro 0->Room11	     0.0	     0.0	             	        0
       Piętro 0->Room115_1	     0.0	     0.0	             	        0
         Piętro 0->Room118	     0.0	     0.0	             	        0
         Piętro 0->Room122	     0.0	     0.0	             	        0
         Piętro 0->Room123	     0.0	     0.0	             	        0
         Piętro 0->Room124	     0.0	     0.0	             	        0
         Piętro 0->Room126	     0.0	     0.0	             	        0
         Piętro 0->Room127	     0.0	     0.0	             	        0
         Piętro 0->Room128	     0.0	     0.0	             	        0
          Piętro 0->Room13	     0.0	    10.2	        00058	        8
         Piętro 0->Room148	     0.0	     0.0	             	        0
         Piętro 0->Room153	     0.0	   137.1	        00269	      290
         Piętro 0->Room154	     0.0	   128.6	        00232	      128
         Piętro 0->Room155	     0.0	     4.8	        00083	        2
         Piętro 0->Room156	     0.0	     2.0	        00084	        1
         Piętro 0->Room158	     0.0	    11.4	        00080	        4
         Piętro 0->Room160	     0.0	     0.0	             	        0
         Piętro 0->Room161	     0.0	     7.8	        00080	        3
         Piętro 0->Room162	     0.0	     0.0	             	        0
         Piętro 0->Room163	     0.0	     0.0	             	        0
         Piętro 0->Room165	     0.0	     0.0	             	        0
         Piętro 0->Room166	     0.0	     0.0	             	        0
         Piętro 0->Room167	     0.0	     0.0	             	        0
         Piętro 0->Room168	     0.0	     0.0	             	        0
         Piętro 0->Room169	     0.0	     0.0	             	        0
          Piętro 0->Room17	     0.0	   128.3	        00277	      159
         Piętro 0->Room170	     0.0	     0.0	             	        0
         Piętro 0->Room171	     0.0	     4.7	        00080	        2
         Piętro 0->Room172	     0.0	   121.5	        00232	      120
         Piętro 0->Room178	     2.6	     4.5	        00085	        1
         Piętro 0->Room179	     0.0	     2.6	        00085	        1
         Piętro 0->Room180	     6.9	     7.7	        00112	        1
         Piętro 0->Room181	     0.0	     3.8	        00112	        2
         Piętro 0->Room182	     0.0	     1.9	        00112	        1
         Piętro 0->Room184	     0.0	     0.0	             	        0
         Piętro 0->Room186	     0.0	     0.0	             	        0
         Piętro 0->Room187	     0.0	     4.4	        00096	        2
         Piętro 0->Room191	     0.0	     6.4	        00098	        1
         Piętro 0->Room195	     0.0	     0.0	             	        0
         Piętro 0->Room196	     0.0	     0.0	             	        0
         Piętro 0->Room199	     0.0	    16.8	        00109	        4
       Piętro 0->Room199_1	     0.0	    10.5	        00106	        4
         Piętro 0->Room200	     0.0	     0.0	             	        0
          Piętro 0->Room22	     0.0	     6.4	        00071	        3
          Piętro 0->Room23	     0.9	     2.8	        00069	        1
          Piętro 0->Room24	     0.0	     0.9	        00069	        1
         Piętro 0->Room240	     0.0	     0.0	             	        0
         Piętro 0->Room241	     0.0	     0.0	             	        0
         Piętro 0->Room242	     0.0	     0.0	             	        0
         Piętro 0->Room243	     0.0	     0.0	             	        0
         Piętro 0->Room244	     0.0	     0.0	             	        0
         Piętro 0->Room245	     0.0	     0.0	             	        0
         Piętro 0->Room246	     0.0	     0.0	             	        0
         Piętro 0->Room247	     0.0	     0.0	             	        0
         Piętro 0->Room248	     0.0	     0.0	             	        0
         Piętro 0->Room249	     0.0	     0.0	             	        0
          Piętro 0->Room25	     0.0	     6.6	        00065	        3
         Piętro 0->Room250	     0.0	     0.0	             	        0
         Piętro 0->Room251	     0.0	     0.0	             	        0
         Piętro 0->Room252	     0.0	     0.0	             	        0
         Piętro 0->Room253	     0.0	     0.0	             	        0
         Piętro 0->Room254	     0.0	     0.0	             	        0
         Piętro 0->Room255	     0.0	     0.0	             	        0
         Piętro 0->Room256	     0.0	     0.0	             	        0
         Piętro 0->Room257	     0.0	     0.0	             	        0
         Piętro 0->Room258	     0.0	     0.0	             	        0
         Piętro 0->Room259	     0.0	     0.0	             	        0
          Piętro 0->Room26	     0.0	     3.4	        00065	        2
         Piętro 0->Room260	     0.0	     0.0	             	        0
         Piętro 0->Room261	     0.0	     0.0	             	        0
         Piętro 0->Room262	     0.0	     0.0	             	        0
         Piętro 0->Room263	     0.0	     0.0	             	        0
         Piętro 0->Room264	     0.0	     0.0	             	        0
         Piętro 0->Room265	     0.0	     0.0	             	        0
         Piętro 0->Room266	     0.0	     0.0	             	        0
         Piętro 0->Room267	     0.0	     0.0	             	        0
         Piętro 0->Room273	     0.0	     8.5	        00101	        5
         Piętro 0->Room274	     0.0	     0.0	             	        0
